"indiv","sex","ars","f","smlh","pack","migrant","littersize","littersync","index","rain","rainsd","age","packsize","fhresid"
"BM211","M",0,0.0625,0.964939476173631,"1B",FALSE,24,TRUE,NA,70.6083333333333,46.3896238071586,2,23.6666666666667,-0.0275249968977432
"HM078","M",0,0.03125,0.660221746855642,"1H",FALSE,4,TRUE,0.75,62.9333333333333,37.8100355445322,1,23,-0.358144497878663
"HM078","M",0,0.03125,0.660221746855642,"1H",FALSE,4,TRUE,0.75,69.1333333333333,46.5581812619892,2,22.8333333333334,-0.358144497878663
"HM078","M",0,0.03125,0.660221746855642,"1H",TRUE,4,TRUE,0.75,63.2333333333333,25.4478909050466,3,18.3846153846154,-0.358144497878663
"HM078","M",0,0.03125,0.660221746855642,"1H",FALSE,4,TRUE,0.75,59.3,39.0637474346275,4,14.4166666666667,-0.358144497878663
"HM078","M",0,0.03125,0.660221746855642,"1H",FALSE,4,TRUE,0.75,71.2,24.2106287703262,5,14.4166666666667,-0.358144497878663
"HF080","F",0,0,1.16808462905229,"1H",FALSE,4,TRUE,0.944444444444444,62.9333333333333,37.8100355445322,1,23,0.123816612655055
"HF080","F",1,0,1.16808462905229,"1H",FALSE,4,TRUE,0.944444444444444,69.1333333333333,46.5581812619892,2,22.8333333333334,0.123816612655055
"HF080","F",0,0,1.16808462905229,"1H",FALSE,4,TRUE,0.944444444444444,63.2333333333333,25.4478909050466,3,18.3846153846154,0.123816612655055
"HF080","F",1,0,1.16808462905229,"1H",FALSE,4,TRUE,0.944444444444444,59.3,39.0637474346275,4,14.4166666666667,0.123816612655055
"HF080","F",1,0,1.16808462905229,"1H",FALSE,4,TRUE,0.944444444444444,71.2,24.2106287703262,5,14.4166666666667,0.123816612655055
"HF080","F",0,0,1.16808462905229,"1H",FALSE,4,TRUE,0.944444444444444,65.6916666666667,44.1116446867457,6,13.6666666666667,0.123816612655055
"HM081","M",0,0,0.931571867934693,"1H",FALSE,4,TRUE,1,62.9333333333333,37.8100355445322,1,23,-0.112696148462543
"HM081","M",0,0,0.931571867934693,"1H",FALSE,4,TRUE,1,69.1333333333333,46.5581812619892,2,22.8333333333334,-0.112696148462543
"HM081","M",0,0,0.931571867934693,"1H",TRUE,4,TRUE,1,63.2333333333333,25.4478909050466,3,18.3846153846154,-0.112696148462543
"FM079","M",0,0.125,0.964939476173631,"4B",TRUE,14,TRUE,0,63.9333333333333,40.0490910879348,1,22.4166666666667,0.0242785464281179
