"indiv","pack","sex","daten","litter","index","rain","rainsd","brain","f","smlh","avweight","avage","dup","old_index","litter_eobservations","escort_eobservations","record_end","litter_eobservations2","fhresid"
"DM090","11","M",39399,"D0605",0.666666666666667,63.625,30.1573788648815,3.66,0,0.911108734629186,1354.22222222222,363.888888888889,FALSE,0.714285714285714,15,10,39983,15,-0.102923383965722
"HF125","1H","F",39402,"H0605",0.714285714285714,64.3333333333333,32.0599249512345,3.35333333333333,0.015625,1.14459231278197,1144.71428571429,363,FALSE,0.833333333333333,7,5,42067,7,0.139010199629199
"VM050","15","M",39403,"V0604",0,64.4333333333333,31.9348579379203,3.31333333333333,0,0.98381855572185,1155.66666666667,368.333333333333,FALSE,NA,11,0,40183,11,-0.0302135628730572
"VM054","15","M",39403,"V0604",0.727272727272727,64.4333333333333,31.9348579379203,3.31333333333333,0,0.936970053068429,1139.5,368.333333333333,FALSE,0.727272727272727,11,8,39970,11,-0.0770620655264785
"VF056","15","F",39403,"V0604",0.727272727272727,64.4333333333333,31.9348579379203,3.31333333333333,0,0.959061825925458,964.75,367.5,FALSE,0.8,11,8,39736,11,-0.0549702926694491
"VF060","15","F",39556,"V0701",0.75,55.1916666666667,37.8460387823501,2.46,0,1.03605251843485,1074,366.428571428571,FALSE,0.857142857142857,8,6,40100,8,0.0220203998399461
"DM101","11","M",39566,"D0701",0.647058823529412,52.6833333333333,40.5603665335181,3.33666666666667,0,1.1964509673261,1232.75,364.625,FALSE,0.916666666666667,17,11,39983,17,0.182418848731196
"DF111","11","F",39567,"D0701",0.705882352941177,52.6833333333333,40.5603665335181,3.33666666666667,0.125,0.633360598419279,1127,353,FALSE,0.923076923076923,17,12,40036,17,-0.313071476638509
"FM142","4B","M",39588,"F0701",1,59.85,37.5672366927257,1.77666666666667,0.125,0.785083271572164,1223.75,365.75,FALSE,1,8,8,40443,8,-0.161348803485625
"BF341","1B","F",39604,"B0704",0.8,59.7083333333333,37.4055770837678,3.60555555555556,0.03125,1.33222427757833,1445,366.571428571429,FALSE,0.8,5,4,39815,5,0.335092169867704
"BF348","1B","F",39604,"B0704",0.6,59.7083333333333,37.4055770837678,3.60555555555556,0.125,0.973549029079922,1403.125,366,FALSE,0.6,5,3,40256,5,0.0271169540221336
"BF338","1B","F",39605,"B0704",0,59.7083333333333,37.4055770837678,3.60555555555556,0.0625,0.812821307139574,1364.14285714286,367.571428571429,FALSE,0,5,0,40256,5,-0.167410789686774
"HF132","1H","F",39610,"H0702",0.476190476190476,59.3583333333333,37.0448734849392,4.31,0.0625,0.851855400444932,1156.2,365.5,FALSE,0.833333333333333,21,10,39911,21,-0.128376696381416
"HF138","1H","F",39610,"H0702",0.428571428571429,59.3583333333333,37.0448734849392,4.31,0.0625,1.07680587059349,1240.8,365.4,FALSE,0.5625,21,9,39911,21,0.0965737737671451
